680,Pulp_Fiction,"A_burger-loving_hit_man _his_philosophical_partner _a_drug-addled_gangster's_moll_and_a_washed-up_boxer_converge_in_this_sprawling _comedic_crime_caper._Their_adventures_unfurl_in_three_stories_that_ingeniously_trip_back_and_forth_in_time.",300,118.032,8.487,27603
122,The_Lord_of_the_Rings:_The_Return_of_the_King,"As_armies_mass_for_a_final_battle_that_will_decide_the_fate_of_the_world--and_powerful _ancient_forces_of_Light_and_Dark_compete_to_determine_the_outcome--one_member_of_the_Fellowship_of_the_Ring_is_revealed_as_the_noble_heir_to_the_throne_of_the_Kings_of_Men._Yet _the_sole_hope_for_triumph_over_evil_lies_with_a_brave_hobbit _Frodo _who _accompanied_by_his_loyal_friend_Sam_and_the_hideous _wretched_Gollum _ventures_deep_into_the_very_dark_heart_of_Mordor_on_his_seemingly_impossible_quest_to_destroy_the_Ring_of_Power.​",413,173.882,8.48,23876
13,Forrest_Gump,"A_man_with_a_low_IQ_has_accomplished_great_things_in_his_life_and_been_present_during_significant_historic_events—in_each_case _far_exceeding_what_anyone_imagined_he_could_do._But_despite_all_he_has_achieved _his_one_true_love_eludes_him.",297,119.068,8.474,27123
769,GoodFellas,"The_true_story_of_Henry_Hill _a_half-Irish _half-Sicilian_Brooklyn_kid_who_is_adopted_by_neighbourhood_gangsters_at_an_early_age_and_climbs_the_ranks_of_a_Mafia_family_under_the_guidance_of_Jimmy_Conway.",251,91.232,8.463,12683
667257,Impossible_Things,"After_the_death_of_her_abusive_husband _Matilde_finds_her_new_best_friend_in_Miguel _her_young _insecure _and_disoriented_neighbor.",626,27.127,8.462,381
429,"The_Good _the_Bad_and_the_Ugly","While_the_Civil_War_rages_on_between_the_Union_and_the_Confederacy _three_men_–_a_quiet_loner _a_ruthless_hitman _and_a_Mexican_bandit_–_comb_the_American_Southwest_in_search_of_a_strongbox_containing_$200 000_in_stolen_gold.",-36,102.322,8.461,8473
346,Seven_Samurai,"A_samurai_answers_a_village's_request_for_protection_after_he_falls_on_hard_times._The_town_needs_protection_from_bandits _so_the_samurai_gathers_six_others_to_help_him_teach_the_people_how_to_defend_themselves _and_the_villagers_provide_the_soldiers_with_food.",-190,54.84,8.46,3598
12477,Grave_of_the_Fireflies,"In_the_final_months_of_World_War_II _14-year-old_Seita_and_his_sister_Setsuko_are_orphaned_when_their_mother_is_killed_during_an_air_raid_in_Kobe _Japan._After_a_falling_out_with_their_aunt _they_move_into_an_abandoned_bomb_shelter._With_no_surviving_relatives_and_their_emergency_rations_depleted _Seita_and_Setsuko_struggle_to_survive.",222,0.059,8.456,5386
637,Life_Is_Beautiful,A_touching_story_of_an_Italian_book_seller_of_Jewish_ancestry_who_lives_in_his_own_little_fairy_tale._His_creative_and_happy_life_would_come_to_an_abrupt_halt_when_his_entire_family_is_deported_to_a_concentration_camp_during_World_War_II._While_locked_up_he_tries_to_convince_his_son_that_the_whole_thing_is_just_a_game.,340,44.777,8.45,12899
11216,Cinema_Paradiso,"A_filmmaker_recalls_his_childhood _when_he_fell_in_love_with_the_movies_at_his_village's_theater_and_formed_a_deep_friendship_with_the_theater's_projectionist.",229,30.902,8.449,4303
157336,Interstellar,The_adventures_of_a_group_of_explorers_who_make_use_of_a_newly_discovered_wormhole_to_surpass_the_limitations_on_human_space_travel_and_conquer_the_vast_distances_involved_in_an_interstellar_voyage.,545,177.797,8.44,35110
550,Fight_Club,"A_ticking-time-bomb_insomniac_and_a_slippery_soap_salesman_channel_primal_male_aggression_into_a_shocking_new_form_of_therapy._Their_concept_catches_on _with_underground_fight_clubs_forming_in_every_town _until_an_eccentric_gets_in_the_way_and_ignites_an_out-of-control_spiral_toward_oblivion.",362,87.016,8.438,29049
1084736,The_Count_of_Monte-Cristo,"Edmond_Dantes_becomes_the_target_of_a_sinister_plot_and_is_arrested_on_his_wedding_day_for_a_crime_he_did_not_commit._After_14_years_in_the_island_prison_of_Château_d’If _he_manages_a_daring_escape._Now_rich_beyond_his_dreams _he_assumes_the_identity_of_the_Count_of_Monte-Cristo_and_exacts_his_revenge_on_the_three_men_who_betrayed_him.",663,86.72,8.431,511
539,Psycho,"When_larcenous_real_estate_clerk_Marion_Crane_goes_on_the_lam_with_a_wad_of_cash_and_hopes_of_starting_a_new_life _she_ends_up_at_the_notorious_Bates_Motel _where_manager_Norman_Bates_cares_for_his_housebound_mother.",-115,44.659,8.43,9906
598,City_of_God,"In_the_slums_of_Rio _two_kids'_paths_diverge_as_one_struggles_to_become_a_photographer_and_the_other_a_kingpin.",397,64.9,8.426,7257
510,One_Flew_Over_the_Cuckoo's_Nest,"A_petty_criminal_fakes_insanity_to_serve_his_sentence_in_a_mental_ward_rather_than_prison._He_soon_finds_himself_as_a_leader_to_the_other_patients—and_an_enemy_to_the_cruel _domineering_nurse_who_runs_the_ward.",71,47.864,8.418,10289
696374,Gabriel's_Inferno,"An_intriguing_and_sinful_exploration_of_seduction _forbidden_love _and_redemption _Gabriel's_Inferno_is_a_captivating_and_wildly_passionate_tale_of_one_man's_escape_from_his_own_personal_hell_as_he_tries_to_earn_the_impossible--forgiveness_and_love.",613,18.358,8.416,2406
